SSR, lamb, beta, k, delta, p, c, K
5.177411366238261481e-01,2.273580910142609102e-01,2.228292833748750422e-05,1.402204184785165619e+00,3.651921884967286272e+18,2.473004364985164288e+18,4.578073516496731088e+01,1.688277225549645722e+07
1.499503026319623622e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
1.120629284278096716e+00,1.651914590671358374e-01,2.623223373074342761e-05,1.652945361279921421e+00,2.890349648000891392e+18,3.128159100623653376e+18,9.127714300433770234e+01,1.031692383338404074e+07
8.322012920408511372e-01,1.187107309801479493e-01,2.137600018346687896e-05,2.011918176642197409e+00,2.864422999567587840e+18,3.150167336173653504e+18,8.756175389498154971e+01,8.135337043999258429e+06
1.475170585098983800e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
7.209934912797575368e-01,1.555752620392855112e-01,1.141147198946746870e-04,1.300351851579710338e+00,2.921291998276820992e+18,1.161714333701044736e+18,1.099973948413124845e+02,5.227821936154621653e+06
9.356621748443401110e-01,2.053692142729607595e-01,2.534345448723626150e-05,1.429417286930451780e+00,2.804070058380902400e+18,3.229968612913040384e+18,9.103917996065298723e+01,1.437065896275317110e+07
1.440834017992759009e+00,1.367040814013731342e-01,2.203319576184814213e-05,2.154309700971536845e+00,2.896879265084627968e+18,3.121154949685108224e+18,8.897102629625371151e+01,8.027598111770037562e+06
1.440399014764168983e+00,1.378754842762140720e-01,2.209684061852362527e-05,2.180713141011829670e+00,2.891751509903358464e+18,3.126705368120376832e+18,8.879900561036950535e+01,8.019303789086085744e+06
7.904697506297861942e-01,1.258352874053710324e-01,2.097134003756210942e-05,2.009400440308536151e+00,2.785318550218275840e+18,3.246440600743979008e+18,8.304722992843649365e+01,7.049978555144098587e+06
1.423275074299179321e+00,1.400666116990980370e-01,2.203409460025371641e-05,2.178877248897516772e+00,2.880613768488332288e+18,3.138768462961619968e+18,8.827585846863921404e+01,7.851048834328015335e+06
9.573264702146806471e-01,1.598335366163520788e-01,2.616188681804449423e-05,1.877428763662372546e+00,2.875323917085530112e+18,3.154840785777297408e+18,8.857972711233696828e+01,7.109417233041967265e+06
1.532059948505250846e+00,1.367062199204342743e-01,2.203317599907460167e-05,2.154307365400176977e+00,2.896880386129978880e+18,3.121153741126985216e+18,8.897103883193672402e+01,8.027586728460104205e+06
9.902291076434679429e-01,1.193393852361784579e-01,2.180270638451001032e-05,2.097290756833978254e+00,2.890047528941622272e+18,3.128219522985529344e+18,8.856115276162121575e+01,7.907752981384851970e+06
1.057121413535203391e+00,1.408433489240428493e-01,2.612424059830878225e-05,1.768699211356961065e+00,2.877367047072051200e+18,3.123007513943072256e+18,8.556538022587389491e+01,6.732470038970144466e+06
1.487697859433075864e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
1.301027068864039737e+00,1.408335181578165562e-01,2.216515501190305861e-05,2.203315991709591692e+00,2.890238498082215424e+18,3.128303738531939840e+18,8.874862289419242245e+01,8.015914133919241838e+06
1.454141755080489595e+00,1.367041968545687214e-01,2.203318374386813362e-05,2.154309054058288986e+00,2.896880770353369600e+18,3.121153319006767104e+18,8.897107242512123548e+01,8.027597327768362127e+06
1.396037823230919628e+00,1.387025286359500065e-01,2.093563063551467013e-05,1.995479162260302308e+00,2.787265429829417472e+18,3.198262534603702784e+18,8.506378005594213221e+01,8.374551251986683346e+06
1.024150769475586920e+00,1.176509645040609009e-01,2.528513239440554407e-05,2.080083037414612868e+00,3.052888594933237760e+18,2.961537062935090688e+18,9.385040720095746281e+01,7.738297595999912359e+06
1.466314224506991337e+00,1.393447481399848753e-01,2.179039366302452094e-05,2.138928053199565582e+00,2.859355560591384576e+18,3.162233447471212032e+18,8.761793588269632949e+01,7.889180254393177107e+06
1.487029532803636700e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
